IR UF24 44686094,78271975,60762060,88915426
2024-10-26 19:12:10,510 - FRONTIER - INFO - Did not find save file frontier.shelve, starting from seed.
2024-10-26 19:12:10,520 - FRONTIER - INFO - Found 0 urls to be downloaded from 0 total urls discovered.
2024-10-26 19:12:10,559 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:11,245 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-archive, status <200>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:11,927 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-archive/seminar-series-2010-2011, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:12,456 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-archive/seminar-series-2011-2012, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:12,984 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-archive/seminar-series-2012-2013, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:13,510 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu/seminar-series/seminar-series-archive/seminar-series-2013-2014, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:14,036 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2014-2015, status <200>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:14,903 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/ICS/statistics/research/seminarseries/2010-2011/index, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:15,432 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/ICS/statistics/research/seminarseries/2011-2012/index, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:15,960 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/ICS/statistics/research/seminarseries/2012-2013/index, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:16,487 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/ICS/statistics/research/seminarseries/2013-2014/index, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:17,012 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2015-2016, status <200>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:17,905 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2016-2017, status <200>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:18,657 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2016-2017/seminar-series-2010-2011, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:19,174 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2016-2017/seminar-series-2011-2012, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:19,690 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2016-2017/seminar-series-2012-2013, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:20,208 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2016-2017/seminar-series-2013-2014, status <404>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:20,828 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2017-2018, status <200>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:21,912 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/seminar-series/seminar-series-2018-2019, status <200>, using cache ('styx.ics.uci.edu', 9009).
2024-10-26 19:12:22,873 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/wp-content/uploads/JuliaPalaciosAbstract6-6-19, status <200>, using cache ('styx.ics.uci.edu', 9009).
Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2024-10-26 19:12:27,098 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/wp-content/uploads/TianZhengAbstract5-30-19, status <200>, using cache ('styx.ics.uci.edu', 9009).
Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2024-10-26 19:12:31,396 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/wp-content/uploads/StephanMandtAbstract5-16-19, status <200>, using cache ('styx.ics.uci.edu', 9009).
Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2024-10-26 19:12:35,836 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/wp-content/uploads/LorinCrawfordAbstract5-2-19, status <200>, using cache ('styx.ics.uci.edu', 9009).
Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
2024-10-26 19:12:40,527 - Worker-0 - INFO - Downloaded http://www.stat.uci.edu/wp-content/uploads/XinTongAbstract4-25-19, status <200>, using cache ('styx.ics.uci.edu', 9009).
Some characters could not be decoded, and were replaced with REPLACEMENT CHARACTER.
